"Data Source","World Development Indicators",

"Last Updated Date","2020-09-08",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019",
"Fragile and conflict affected situations","FCS","Internally displaced persons, new displacement associated with disasters (number of cases)","VC.IDP.NWDS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","483230","3006900","173800","5762900","1436846","631580","2287020","1260620","1980404","2498700","3110263",
"Fragile and conflict affected situations","FCS","Merchandise exports to low- and middle-income economies in Latin America & the Caribbean (% of total merchandise exports)","TX.VAL.MRCH.R3.ZS","4.45107930572375","3.4253453544773","3.27471523816092","2.29582821064582","2.94164731352714","2.95254548189162","2.89545673850756","2.55528288248966","2.76798477719609","2.80518377082863","2.80146603487808","1.30185482218927","1.77238575738606","2.94662743500226","4.6249822193029","4.25516606529516","3.08437637691","3.23747857449198","2.94305646711809","2.70087227815274","4.72921014787152","6.74254517648707","7.84376398049386","7.42814037329797","7.13371845248071","7.50775736396442","5.74751455771332","4.64559255937262","6.20242910281292","6.40722394762275","4.68451350142907","4.44849788173555","3.6449572113194","5.4776688849804","9.05357714529376","9.15998788218197","6.04625511454477","6.46554182361339","8.10487810224183","5.52513306698263","6.73478737502146","5.1977447318036","6.35139567797553","4.82212831011896","7.00498221931655","5.69495000361212","6.3746822816857","4.06397380690093","4.79006141369926","5.07817887049182","4.50340290290807","5.59407647025189","4.99458644294418","5.42082510573988","5.24771381673908","4.2795772317702","2.57726376285308","1.97763593750372","1.90569625044304","",
"Fragile and conflict affected situations","FCS","Medium and high-tech exports (% manufactured exports)","TX.MNF.TECH.ZS.UN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Fragile and conflict affected situations","FCS","Merchandise imports from low- and middle-income economies outside region (% of total merchandise imports)","TM.VAL.MRCH.OR.ZS","6.5590692747041","7.00826875708289","7.24094402511653","6.87305450139255","6.59756474069835","6.3664645173072","7.6800582992979","7.19558341941561","6.34409747589586","7.65222943227271","6.74067370062117","7.60708319218066","7.20045366298189","7.74612204120293","9.05312869079065","7.20891498528274","5.96747754788516","5.87364915609476","5.41778330732681","5.0696572793297","4.71916464230526","7.89491757998496","8.08581634076758","7.9984457956757","9.61962463816756","10.5418083980686","9.1081771257997","9.41178689111187","9.39694356469662","8.43352092589407","8.70275452979639","8.38338396151224","8.69335841611182","9.21071088258921","10.2292611634888","10.8427718902983","11.0083365104288","10.7686216161097","11.820727665104","12.5542476674341","16.5187389380514","18.3136950781823","19.747326660817","21.8996857028184","23.6883522207001","21.3213012166399","19.9031161565338","22.250410712337","25.5470709458927","27.5146548353317","28.073643078953","25.6483676455252","26.9471031639298","26.2367684659795","28.8255870336598","30.7721120169139","31.9164306264224","31.7815622613226","31.611203017447","",
"Fragile and conflict affected situations","FCS","Tariff rate, applied, simple mean, primary products (%)","TM.TAX.TCOM.SM.AR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Fragile and conflict affected situations","FCS","Tariff rate, applied, simple mean, manufactured products (%)","TM.TAX.MANF.SM.AR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Fragile and conflict affected situations","FCS","Unmet need for contraception (% of married women ages 15-49)","SP.UWT.TFRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","21.0855173559652","","","","","","","21.4261248410057","","",
"Fragile and conflict affected situations","FCS","Population, female","SP.POP.TOTL.FE.IN","91991113","94082280","96251522","98502321","100838617","103263834","105783103","108398269","111105014","113896544","116770113","119715191","122738174","125872332","129162818","132637090","136314950","140174128","144148607","148146711","152104194","156006134","159878500","163749856","167665908","171666738","175743324","179902656","184219710","188790493","194652413","199945895","205570131","211407934","217292675","223108370","228810650","234447270","240080582","245867906","251905703","258218899","264777740","271558139","278517132","285622194","292867680","300262158","307805773","315492230","323317930","331300369","339435233","347672663","355946632","364221192","372455677","380689515","389091807","397884528",
"Fragile and conflict affected situations","FCS","Population ages 65 and above, total","SP.POP.65UP.TO","5550138","5723672","5882234","6026845","6159773","6282571","6480289","6666986","6842687","7006630","7159400","7389953","7608465","7816776","8017310","8211994","8481870","8742528","8992910","9232028","9459904","9765928","10052378","10319955","10569317","10802701","11121376","11421821","11710890","11996464","12325581","12724174","13127410","13530224","13925232","14309228","14723833","15105075","15460812","15802351","16137288","16571742","16991937","17399501","17795421","18181867","18723575","19248762","19758034","20250924","20732241","21344089","21935732","22521132","23119061","23742612","24561137","25390159","26239831","27122184",
"Fragile and conflict affected situations","FCS","Population ages 40-44, female (% of female population)","SP.POP.4044.FE.5Y","4.77842095772306","4.75328065412811","4.72376766615586","4.69306742614841","4.66690720612283","4.6476312370138","4.61834042373222","4.59775353219055","4.58207061320863","4.56687132987101","4.54999350630105","4.52023281627103","4.49307516471838","4.46732594681868","4.44222684862349","4.4172594","4.3822942284352","4.34979697559421","4.31981250276393","4.29324204676075","4.27087076382336","4.24237193896074","4.22103121760158","4.20379775636677","4.186721978237","4.16824937018145","4.14127094645891","4.11395739163016","4.092794531528","4.08743634335706","4.09896966670779","4.13283308736239","4.18677704332155","4.24912364881918","4.30475817101376","4.34581961565405","4.35927218377968","4.3609890510492","4.35688838078916","4.35555739310505","4.36153004480674","4.366682103976","4.37885687876113","4.39562878823006","4.41404847955674","4.43242719009306","4.45159301735432","4.47344007434427","4.49604459673538","4.51774586953645","4.53808247137838","4.5551753328238","4.57161258431338","4.58935124035772","4.61132521116539","4.63855187048267","4.67086580016288","4.70798992996615","4.74736184223164","4.78581729233219",
